Date,Open,High,Low,Close,Adj Close,Volume
2020-12-09,201.000000,204.500000,198.399994,199.050003,189.866058,8400647
2020-12-10,199.149994,200.350006,191.199997,195.300003,186.289078,10496440
2020-12-11,196.050003,200.500000,191.800003,192.899994,183.999817,10153885
2020-12-14,194.949997,196.949997,193.050003,194.449997,185.478302,5397358
2020-12-15,194.500000,194.800003,183.449997,192.449997,183.570572,12401937
2020-12-16,194.199997,217.000000,194.000000,206.350006,196.829254,61294528
2020-12-17,207.899994,208.800003,203.600006,205.199997,195.732300,18102731
2020-12-18,205.899994,209.800003,197.600006,203.550003,194.158432,20729054
2020-12-21,203.000000,203.000000,180.149994,184.350006,175.844315,22515372
2020-12-22,182.250000,188.500000,173.050003,186.449997,177.847412,22522443
2020-12-23,187.000000,205.050003,184.600006,203.100006,193.729218,39642850
2020-12-24,204.500000,209.600006,201.100006,204.600006,195.160004,23594132
2020-12-28,206.000000,218.500000,205.399994,216.899994,206.892471,31363853
2020-12-29,219.300003,220.550003,209.600006,216.000000,206.034012,30622206
2020-12-30,216.500000,217.300003,211.350006,214.850006,204.937088,15652743
2020-12-31,213.899994,223.500000,212.100006,220.300003,210.135620,27831642
2021-01-01,221.000000,225.350006,218.399994,221.750000,211.518707,18744018
2021-01-04,223.750000,225.899994,216.500000,220.800003,210.612549,17111802
2021-01-05,219.000000,221.800003,215.600006,219.300003,209.181763,19386984
2021-01-06,220.000000,227.000000,215.850006,220.000000,209.849457,27782084
2021-01-07,222.649994,238.699997,222.600006,234.100006,223.298904,40079533
2021-01-08,250.000000,250.899994,238.000000,241.300003,230.166702,45274312
2021-01-11,242.300003,242.449997,230.500000,234.550003,223.728134,18659025
2021-01-12,232.500000,240.750000,229.000000,234.850006,224.014297,16662382
2021-01-13,236.100006,243.399994,222.699997,234.199997,223.394272,30056467
2021-01-14,235.600006,237.350006,229.399994,233.100006,222.345047,15152007
2021-01-15,234.800003,239.500000,227.600006,230.699997,220.055756,17923025
2021-01-18,230.899994,231.850006,213.750000,215.449997,205.509384,19378587
